app_epoch_ms,provider_epoch_ms,lat,lon
1774405985063,1774405984735,53.308187,-6.232894
1774405985998,1774405985730,53.307980,-6.232859
1774405986975,1774405986742,53.307848,-6.232730
1774405987929,1774405987740,53.307847,-6.232670
1774405988924,1774405988647,53.307859,-6.232639
1774405989897,1774405989659,53.307864,-6.232584
1774405990924,1774405990673,53.307866,-6.232540
1774405991906,1774405991615,53.307855,-6.232468
1774405992907,1774405992616,53.307865,-6.232423
1774405993958,1774405993616,53.307870,-6.232372
1774405994917,1774405994616,53.307876,-6.232311
1774405995902,1774405995616,53.307879,-6.232255
1774405996924,1774405996615,53.307878,-6.232201
1774405997903,1774405997615,53.307885,-6.232166
1774405998939,1774405998616,53.307887,-6.232124
1774405999929,1774405999615,53.307889,-6.232077
1774406000905,1774406000615,53.307895,-6.232030
1774406001916,1774406001616,53.307903,-6.231979
1774406002919,1774406002615,53.307904,-6.231906
1774406003880,1774406003616,53.307904,-6.231850
1774406004918,1774406004615,53.307906,-6.231787
1774406005933,1774406005615,53.307910,-6.231733
1774406006910,1774406006616,53.307919,-6.231686
1774406007923,1774406007615,53.307924,-6.231639
1774406008915,1774406008615,53.307939,-6.231593
1774406009933,1774406009616,53.307940,-6.231552
1774406010874,1774406010615,53.307942,-6.231514
1774406011919,1774406011617,53.307949,-6.231482
1774406012907,1774406012615,53.307960,-6.231439
1774406013935,1774406013615,53.307964,-6.231396
1774406014876,1774406014615,53.307971,-6.231345
1774406015904,1774406015615,53.307972,-6.231308
1774406016904,1774406016615,53.307965,-6.231238
1774406017885,1774406017615,53.307987,-6.231173
1774406018910,1774406018616,53.307999,-6.231120
1774406019878,1774406019615,53.308012,-6.230984
1774406020893,1774406020616,53.308020,-6.230911
1774406021911,1774406021616,53.308041,-6.230817
1774406022912,1774406022616,53.308044,-6.230720
1774406023858,1774406023616,53.308050,-6.230658
1774406024895,1774406024616,53.308055,-6.230594
1774406025897,1774406025617,53.308059,-6.230526
1774406026893,1774406026616,53.308070,-6.230466
1774406027898,1774406027617,53.308075,-6.230402
1774406028911,1774406028617,53.308084,-6.230339
1774406029901,1774406029616,53.308093,-6.230283
1774406030914,1774406030617,53.308098,-6.230240
1774406031905,1774406031616,53.308103,-6.230208
